	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
22	0	0	0.32406	0	0	0	0	0	0	0.29966	0.37628	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0.33716	0.66284	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0.22909	0	0	0	0	0	0	0	0.56668	0	0.20422	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0.15804	0	0	0.68219	0	0	0	0	0	0	0	0.15977	0	0	0	0	0
26	0	0	0	0	0	0	0.41058	0	0	0	0	0	0	0	0	0	0	0.25474	0	0	0.33467	0	0
27	0	0.27015	0	0	0	0	0.16601	0	0	0	0	0	0	0	0	0	0	0.25099	0	0	0.18669	0.12616	0
28	0	0.1718	0	0	0.14937	0.15031	0	0	0	0	0.15778	0	0	0	0	0	0	0.12892	0	0	0.13735	0.10447	0
29	0	0	0	0	0.17721	0.24291	0	0	0	0	0.28631	0	0	0	0	0	0	0.29358	0	0	0	0	0
30	0	0.21792	0	0	0.17902	0	0	0	0	0	0.1953	0	0	0	0	0	0	0.26374	0	0	0	0.14403	0
31	0	0.13581	0	0	0.14734	0.12157	0	0	0	0	0.32025	0	0	0	0	0	0	0.09501	0	0	0.1157	0.06432	0
32	0	0	0.13024	0	0.14747	0.15588	0	0	0	0	0	0	0	0	0.1172	0	0	0.14218	0	0	0.12693	0	0.1801
33	0	0	0.14395	0.09558	0	0.17779	0	0	0	0	0	0.10912	0	0	0.09178	0	0.08418	0.08888	0.05355	0.06492	0.09025	0	0
34	0	0	0.05663	0	0	0.02903	0.04514	0	0.07251	0	0.08814	0	0	0.04945	0	0	0.30673	0.13569	0	0.03681	0.14418	0.03569	0
35	0	0	0.11336	0	0	0	0	0.19129	0	0	0.09766	0	0	0	0	0	0.34009	0.1047	0	0	0.15291	0	0
36	0	0	0.33601	0	0	0	0	0	0	0	0.18231	0	0	0	0	0	0.22252	0	0	0	0.25916	0	0
37	0	0	0.48717	0	0	0	0	0	0	0	0	0	0.18611	0	0	0	0	0	0	0	0.32673	0	0
38	0	0	0.55791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44209	0	0	0	0	0
39	0	0	0.6212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3788	0	0	0	0	0
40	0	0	0.14529	0	0	0.17124	0.19648	0.02423	0	0	0.18624	0	0	0	0	0	0	0	0.14012	0.1364	0	0	0
41	0	0	0.25968	0	0	0.24784	0.15935	0	0	0	0	0	0	0	0	0.19259	0	0.14054	0	0	0	0	0
42	0	0	0.32246	0	0	0.29516	0.21361	0	0	0	0	0	0	0	0	0	0	0.16878	0	0	0	0	0
43	0	0	0.26845	0	0	0.26254	0.13916	0	0	0	0	0.19218	0	0	0	0	0	0.13767	0	0	0	0	0
44	0	0	0.26892	0	0	0.38257	0.2046	0	0	0	0	0	0	0	0	0	0	0.14391	0	0	0	0	0
45	0	0	0.52523	0	0	0	0.47477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0.27513	0.18746	0	0.31143	0.22598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	0.3166	0.12509	0.18003	0.2043	0.17398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	0.25327	0.20772	0	0.29378	0.24523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neg snake	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HeLa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
