	1	2	3	4	5	6	7	8	9	10	11
snake 1	1	0	0	0	0	0	0	0	0	0	0
2	1	0	0	0	0	0	0	0	0	0	0
3	1	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	0	0	0	0	0	0	0
5	0	1	0	0	0	0	0	0	0	0	0
6	0	1	0	0	0	0	0	0	0	0	0
7	0	0	1	0	0	0	0	0	0	0	0
8	0	0	0	0	0	1	0	0	0	0	0
9	0	0	0	0	0	1	0	0	0	0	0
10	0	0	0	0	0	1	0	0	0	0	0
11	0	0	0	0	0	1	0	0	0	0	0
12	0	0	0	0	0	1	0	0	0	0	0
13	0	0	0	0	0	1	0	0	0	0	0
14	0	0	0	0	0	1	0	0	0	0	0
15	0	0	0	0	0	1	0	0	0	0	0
16	0	0	0	0	0	1	0	0	0	0	0
17	0	0	0	0	0	1	0	0	0	0	0
18	0	0	0	0	0	1	0	0	0	0	0
19	0	0	0	0	0	0	0	0	1	0	0
20	0	0	0	0	0	0	0	0	1	0	0
21	0	0	0	0	0	0	0	0	1	0	0
22	0	0	0	0	0	1	0	0	0	0	0
23	0	0	0	0	0	1	0	0	0	0	0
24	0	0	0	0	0	1	0	0	0	0	0
25	0	0	0	0	0	1	0	0	0	0	0
26	0	0	0	0	0	0.5047	0.4953	0	0	0	0
27	0	0.44019	0	0.29784	0	0	0	0	0.17029	0.09168	0
28	0	0	0	0	0	1	0	0	0	0	0
29	0	0	0	0	0	1	0	0	0	0	0
30	0	0	0	0	0	0.76411	0	0	0.23589	0	0
31	0	0	0	0	0	1	0	0	0	0	0
32	0	0	0	0	0	1	0	0	0	0	0
33	0	0	0	0	0	1	0	0	0	0	0
34	0	0	0	0	0	0.26856	0	0	0.26107	0.21872	0.25165
35	0	0	0	0	0	0.44946	0	0.55054	0	0	0
36	0	0	0	0	0	1	0	0	0	0	0
37	0	0	0	0	0	1	0	0	0	0	0
38	0	0	0	0	0	1	0	0	0	0	0
39	0	0	0	0	0	1	0	0	0	0	0
40	0	0	0	0	0	1	0	0	0	0	0
41	0	0	0	0	0.02393	0.97607	0	0	0	0	0
42	0	0	0	0	0.06781	0.93219	0	0	0	0	0
43	0	0	0	0	0	1	0	0	0	0	0
44	0	0	0	0	0.08049	0.91951	0	0	0	0	0
45	0	0	0	0	0.05931	0.94069	0	0	0	0	0
46	0	0	0	0	0	1	0	0	0	0	0
47	0	0	0	0	0	1	0	0	0	0	0
48	0	0	0	0	0	1	0	0	0	0	0
Neg snake	0	0	0	0	0	0	0	0	0	0	0
HeLa	0	0	0	0	0	0	0	0	0	0	0
